990001,addx, 17, 29, 16, 49, 43,154,C,A,C
990002,stch, 30,  9, 48, 25, 81,193,C,A,A
990003,gali, 93, 60,  6, 84, 36,279,A,C,A
990004,miat, 73, 22, 48, 24, 72,239,B,C,C
990005,oran, 33, 38, 59, 58, 28,216,C,B,A
990006,sj24, 27, 65, 54, 77, 33,256,B,A,A
990007,kor2, 33, 85, 98, 60, 66,342,A,B,A
990008,vsky, 41,  5, 99, 14, 67,226,C,A,C
990009,kimd, 74,  4,  1, 33, 53,165,B,C,A
990010,blue, 55, 84, 50, 89, 37,315,A,B,A
990011,moja, 43, 69, 68, 23, 92,295,B,A,C
990012,bleu, 15,  5, 19, 97, 88,224,B,C,C
990013,lore, 77, 85, 36, 95, 46,339,B,A,C
990014,oldn, 83, 89, 67, 67, 87,393,B,C,A
990015,siis, 66, 45, 86, 93, 48,338,C,B,A
990016,klaa, 73,  4, 40, 31, 95,243,A,B,C
990017,rsh1, 47,  1, 63, 63, 22,196,B,A,A
990018,vict, 79, 17, 32, 29, 85,242,C,A,C
990019,popy, 95, 65, 65, 29, 75,329,B,A,C
990020,kssk, 37, 52, 24, 37, 93,243,C,A,C
990021,equi, 13, 94, 56, 93, 88,345,B,C,B
990022,schn, 19, 92, 49, 84, 54,298,A,B,A
990023,tess, 86, 71, 87,  6, 15,265,B,C,B
990024,mula, 48, 41, 18, 32, 46,185,A,B,C
990025,lyj2, 24, 90, 72, 29, 52,267,B,A,B
990026,netm, 65,  4,  4, 23, 45,141,B,C,B
990027,21nj, 41, 41, 93, 73, 22,270,B,A,C
990028,brea, 63, 42, 19, 32, 53,209,C,B,C
990029,minh,  3, 11, 89, 71, 88,262,B,C,B
990030,seac, 73, 57, 37, 44, 18,229,A,C,A
990031,simo,  5, 73, 26, 34, 35,173,A,C,B
990032,sonn, 90, 18, 84, 18, 80,290,C,B,B
990033,mrsw, 90, 71,  9, 16, 57,243,B,C,A
990034,soyo,100, 39, 44, 89, 88,360,A,C,A
990035,lswp, 31, 37, 25, 86, 35,214,A,C,B
990036,bums,  1, 59, 36, 25, 48,169,A,C,B
990037,gibb, 76, 61,  4, 14, 54,209,A,C,A
990038,maxp, 43, 48, 76,  3, 68,238,A,C,B
990039,huff, 52, 99, 97, 87, 72,407,A,C,A
990040,sand, 48, 43, 79, 46, 88,304,A,C,B
990041,blui, 25, 30,  2, 14, 62,133,B,C,B
990042,sd95, 88, 27, 72, 85, 63,335,B,C,A
990043,ksg6, 90, 13, 19, 22, 91,235,A,B,C
990044,lks5, 91, 12,  4, 73, 13,193,A,B,A
990045,ddae, 69, 81, 28, 63, 93,334,C,A,A
990046,paco, 75, 53,  4, 91,  4,227,B,A,B
990047,sgtj, 27, 77,  6, 63, 82,255,C,A,C
990048,best,  3, 19, 10, 30, 39,101,A,B,C
990049,head, 45, 71, 94, 75, 72,357,C,B,A
990050,yooy, 25, 66, 51, 99, 42,283,C,A,C